conc,date,diff,pos
343.52,1984-01-01,-10.7,FALSE
344.33,1984-02-01,-9.9,FALSE
345.11,1984-03-01,-9.1,FALSE
346.88,1984-04-01,-7.3,FALSE
347.25,1984-05-01,-7,FALSE
346.62,1984-06-01,-7.6,FALSE
345.22,1984-07-01,-9,FALSE
343.11,1984-08-01,-11.1,FALSE
340.9,1984-09-01,-13.3,FALSE
341.18,1984-10-01,-13,FALSE
342.8,1984-11-01,-11.4,FALSE
344.04,1984-12-01,-10.2,FALSE
344.79,1985-01-01,-9.4,FALSE
345.82,1985-02-01,-8.4,FALSE
347.25,1985-03-01,-7,FALSE
348.17,1985-04-01,-6,FALSE
348.74,1985-05-01,-5.5,FALSE
348.07,1985-06-01,-6.1,FALSE
346.38,1985-07-01,-7.8,FALSE
344.51,1985-08-01,-9.7,FALSE
342.92,1985-09-01,-11.3,FALSE
342.62,1985-10-01,-11.6,FALSE
344.06,1985-11-01,-10.1,FALSE
345.38,1985-12-01,-8.8,FALSE
346.11,1986-01-01,-8.1,FALSE
346.78,1986-02-01,-7.4,FALSE
347.68,1986-03-01,-6.5,FALSE
349.37,1986-04-01,-4.8,FALSE
350.03,1986-05-01,-4.2,FALSE
349.37,1986-06-01,-4.8,FALSE
347.76,1986-07-01,-6.4,FALSE
345.73,1986-08-01,-8.5,FALSE
344.68,1986-09-01,-9.5,FALSE
343.99,1986-10-01,-10.2,FALSE
345.48,1986-11-01,-8.7,FALSE
346.72,1986-12-01,-7.5,FALSE
347.84,1987-01-01,-6.4,FALSE
348.29,1987-02-01,-5.9,FALSE
349.23,1987-03-01,-5,FALSE
350.8,1987-04-01,-3.4,FALSE
351.66,1987-05-01,-2.5,FALSE
351.07,1987-06-01,-3.1,FALSE
349.33,1987-07-01,-4.9,FALSE
347.92,1987-08-01,-6.3,FALSE
346.27,1987-09-01,-7.9,FALSE
346.18,1987-10-01,-8,FALSE
347.64,1987-11-01,-6.6,FALSE
348.78,1987-12-01,-5.4,FALSE
350.25,1988-01-01,-4,FALSE
351.54,1988-02-01,-2.7,FALSE
352.05,1988-03-01,-2.2,FALSE
353.41,1988-04-01,-0.8,FALSE
354.04,1988-05-01,-0.2,FALSE
353.62,1988-06-01,-0.6,FALSE
352.22,1988-07-01,-2,FALSE
350.27,1988-08-01,-3.9,FALSE
348.55,1988-09-01,-5.7,FALSE
348.72,1988-10-01,-5.5,FALSE
349.91,1988-11-01,-4.3,FALSE
351.18,1988-12-01,-3,FALSE
352.6,1989-01-01,-1.6,FALSE
352.92,1989-02-01,-1.3,FALSE
353.53,1989-03-01,-0.7,FALSE
355.26,1989-04-01,1.1,TRUE
355.52,1989-05-01,1.3,TRUE
354.97,1989-06-01,0.8,TRUE
353.75,1989-07-01,-0.5,FALSE
351.52,1989-08-01,-2.7,FALSE
349.64,1989-09-01,-4.6,FALSE
349.83,1989-10-01,-4.4,FALSE
351.14,1989-11-01,-3.1,FALSE
352.37,1989-12-01,-1.8,FALSE
353.5,1990-01-01,-0.7,FALSE
354.55,1990-02-01,0.3,TRUE
355.23,1990-03-01,1,TRUE
356.04,1990-04-01,1.8,TRUE
357,1990-05-01,2.8,TRUE
356.07,1990-06-01,1.9,TRUE
354.67,1990-07-01,0.5,TRUE
352.76,1990-08-01,-1.4,FALSE
350.82,1990-09-01,-3.4,FALSE
351.04,1990-10-01,-3.2,FALSE
352.69,1990-11-01,-1.5,FALSE
354.07,1990-12-01,-0.1,FALSE
354.59,1991-01-01,0.4,TRUE
355.63,1991-02-01,1.4,TRUE
357.03,1991-03-01,2.8,TRUE
358.48,1991-04-01,4.3,TRUE
359.22,1991-05-01,5,TRUE
358.12,1991-06-01,3.9,TRUE
356.06,1991-07-01,1.9,TRUE
353.92,1991-08-01,-0.3,FALSE
352.05,1991-09-01,-2.2,FALSE
352.11,1991-10-01,-2.1,FALSE
353.64,1991-11-01,-0.6,FALSE
354.89,1991-12-01,0.7,TRUE
355.88,1992-01-01,1.7,TRUE
356.63,1992-02-01,2.4,TRUE
357.72,1992-03-01,3.5,TRUE
359.07,1992-04-01,4.9,TRUE
359.58,1992-05-01,5.4,TRUE
359.17,1992-06-01,5,TRUE
356.94,1992-07-01,2.7,TRUE
354.92,1992-08-01,0.7,TRUE
352.94,1992-09-01,-1.3,FALSE
353.23,1992-10-01,-1,FALSE
354.09,1992-11-01,-0.1,FALSE
355.33,1992-12-01,1.1,TRUE
356.63,1993-01-01,2.4,TRUE
357.1,1993-02-01,2.9,TRUE
358.32,1993-03-01,4.1,TRUE
359.41,1993-04-01,5.2,TRUE
360.23,1993-05-01,6,TRUE
359.55,1993-06-01,5.3,TRUE
357.53,1993-07-01,3.3,TRUE
355.48,1993-08-01,1.3,TRUE
353.67,1993-09-01,-0.5,FALSE
353.95,1993-10-01,-0.3,FALSE
355.3,1993-11-01,1.1,TRUE
356.78,1993-12-01,2.6,TRUE
358.34,1994-01-01,4.1,TRUE
358.89,1994-02-01,4.7,TRUE
359.95,1994-03-01,5.7,TRUE
361.25,1994-04-01,7,TRUE
361.67,1994-05-01,7.5,TRUE
360.94,1994-06-01,6.7,TRUE
359.55,1994-07-01,5.3,TRUE
357.49,1994-08-01,3.3,TRUE
355.84,1994-09-01,1.6,TRUE
356,1994-10-01,1.8,TRUE
357.59,1994-11-01,3.4,TRUE
359.05,1994-12-01,4.8,TRUE
359.98,1995-01-01,5.8,TRUE
361.03,1995-02-01,6.8,TRUE
361.66,1995-03-01,7.5,TRUE
363.48,1995-04-01,9.3,TRUE
363.82,1995-05-01,9.6,TRUE
363.3,1995-06-01,9.1,TRUE
361.94,1995-07-01,7.7,TRUE
359.5,1995-08-01,5.3,TRUE
358.11,1995-09-01,3.9,TRUE
357.8,1995-10-01,3.6,TRUE
359.61,1995-11-01,5.4,TRUE
360.74,1995-12-01,6.5,TRUE
362.09,1996-01-01,7.9,TRUE
363.29,1996-02-01,9.1,TRUE
364.06,1996-03-01,9.9,TRUE
364.76,1996-04-01,10.6,TRUE
365.45,1996-05-01,11.2,TRUE
365.01,1996-06-01,10.8,TRUE
363.7,1996-07-01,9.5,TRUE
361.54,1996-08-01,7.3,TRUE
359.51,1996-09-01,5.3,TRUE
359.65,1996-10-01,5.4,TRUE
360.8,1996-11-01,6.6,TRUE
362.38,1996-12-01,8.2,TRUE
363.23,1997-01-01,9,TRUE
364.06,1997-02-01,9.9,TRUE
364.61,1997-03-01,10.4,TRUE
366.4,1997-04-01,12.2,TRUE
366.84,1997-05-01,12.6,TRUE
365.68,1997-06-01,11.5,TRUE
364.52,1997-07-01,10.3,TRUE
362.57,1997-08-01,8.4,TRUE
360.24,1997-09-01,6,TRUE
360.83,1997-10-01,6.6,TRUE
362.49,1997-11-01,8.3,TRUE
364.34,1997-12-01,10.1,TRUE
