year,other,usa,diff,hi_lo
1960,68.6,69.9,1.3000000000000114,Below
1961,69.2,70.4,1.2000000000000028,Below
1962,68.9,70.2,1.2999999999999972,Below
1963,69.1,70,0.9000000000000057,Below
1964,69.5,70.3,0.7999999999999972,Below
1965,69.6,70.3,0.7000000000000028,Below
1966,69.9,70.3,0.3999999999999915,Below
1967,70.1,70.7,0.6000000000000085,Below
1968,70.1,70.4,0.30000000000001137,Below
1969,70.1,70.6,0.5,Below
1970,69.8,70.9,1.1000000000000085,Below
1971,70.4,71.2,0.7999999999999972,Below
1972,70.6,71.3,0.7000000000000028,Below
1973,70.7,71.5,0.7999999999999972,Below
1974,71,72.1,1.0999999999999943,Below
1975,71.3,72.7,1.4000000000000057,Below
1976,71.6,73,1.4000000000000057,Below
1977,72,73.4,1.4000000000000057,Below
1978,72.1,73.5,1.4000000000000057,Below
1979,72.3,73.9,1.6000000000000085,Below
1980,72.6,73.7,1.1000000000000085,Below
1981,72.9,74.1,1.1999999999999886,Below
1982,73.1,74.5,1.4000000000000057,Below
1983,73.2,74.6,1.3999999999999915,Below
1984,73.5,74.7,1.2000000000000028,Below
1985,73.7,74.7,1,Below
1986,74,74.7,0.7000000000000028,Below
1987,74.3,74.9,0.6000000000000085,Below
1988,74.5,74.9,0.4000000000000057,Below
1989,74.7,75.1,0.3999999999999915,Below
1990,74.8,75.3,0.5,Below
1991,75,75.5,0.5,Below
1992,75.2,75.7,0.5,Below
1993,75.4,75.5,0.09999999999999432,Below
1994,75.7,75.7,0,Below
1995,75.8,75.7,-0.09999999999999432,Above
1996,76.2,76.1,-0.10000000000000853,Above
1997,76.4,76.5,0.09999999999999432,Below
1998,76.6,76.7,0.10000000000000853,Below
1999,76.8,76.7,-0.09999999999999432,Above
2000,77.2,76.7,-0.5,Above
2001,77.5,76.9,-0.5999999999999943,Above
2002,77.5,77,-0.5,Above
2003,77.6,77.1,-0.5,Above
2004,78.1,77.6,-0.5,Above
2005,78.3,77.6,-0.7000000000000028,Above
2006,78.6,77.8,-0.7999999999999972,Above
2007,78.8,78.1,-0.7000000000000028,Above
2008,79.1,78.1,-1,Above
2009,79.3,78.5,-0.7999999999999972,Above
2010,79.6,78.6,-1,Above
2011,79.9,78.7,-1.2000000000000028,Above
2012,80,78.8,-1.2000000000000028,Above
2013,80.4,78.8,-1.6000000000000085,Above
2014,80.7,78.9,-1.7999999999999972,Above
2015,80.6,78.8,-1.7999999999999972,Above
2016,77.1,NA,NA,NA
